,month,product_category_name_english,total_count
18,2016-10,furniture_decor,72
31,2016-12,fashion_bags_accessories,1
52,2017-01,furniture_decor,192
100,2017-02,furniture_decor,267
150,2017-03,furniture_decor,343
181,2017-04,bed_bath_table,296
239,2017-05,bed_bath_table,417
296,2017-06,bed_bath_table,416
355,2017-07,bed_bath_table,608
416,2017-08,bed_bath_table,570
479,2017-09,bed_bath_table,565
542,2017-10,bed_bath_table,587
605,2017-11,bed_bath_table,970
669,2017-12,bed_bath_table,577
731,2018-01,bed_bath_table,866
801,2018-02,computers_accessories,961
858,2018-03,bed_bath_table,799
923,2018-04,bed_bath_table,743
989,2018-05,bed_bath_table,768
1083,2018-06,health_beauty,786
1147,2018-07,health_beauty,720
1210,2018-08,health_beauty,803
1234,2018-09,kitchen_dining_laundry_garden_furniture,1
